0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-28.0,-70.0,-52.0,-57.0,-56.0,-61.0,-65.0,-67.0,-66.0,-68.0,-65.0,-73.0,-58.0,-71.0,-72.0,-83.0,-72.0
-28.0,-68.0,-52.0,-58.0,-55.0,-62.0,-58.0,-62.0,-64.0,-69.0,-64.0,-67.0,-58.0,-73.0,-73.0,-71.0,-77.0
-27.0,-68.0,-68.0,-55.0,-63.0,-62.0,-57.0,-66.0,-64.0,-64.0,-64.0,-77.0,-63.0,-68.0,-80.0,-72.0,-67.0
-28.0,-69.0,-79.0,-56.0,-55.0,-63.0,-56.0,-66.0,-65.0,-69.0,-64.0,-68.0,-57.0,-78.0,-70.0,-69.0,-65.0
-27.0,-51.0,-69.0,-56.0,-64.0,-65.0,-60.0,-62.0,-70.0,-69.0,-64.0,-77.0,-58.0,-69.0,-68.0,-73.0,-66.0
-27.0,-72.0,-66.0,-55.0,-57.0,-59.0,-61.0,-69.0,-66.0,-68.0,-58.0,-69.0,-57.0,-74.0,-76.0,-70.0,-67.0
-27.0,-62.0,-53.0,-56.0,-66.0,-60.0,-59.0,-60.0,-65.0,-63.0,-61.0,-71.0,-58.0,-73.0,-68.0,-86.0,-70.0
-27.0,-52.0,-70.0,-59.0,-61.0,-59.0,-57.0,-65.0,-63.0,-66.0,-63.0,-65.0,-57.0,-71.0,-75.0,-75.0,-72.0
-27.0,-63.0,-53.0,-55.0,-59.0,-61.0,-56.0,-65.0,-62.0,-63.0,-61.0,-77.0,-60.0,-68.0,-73.0,-72.0,-73.0
-28.0,-62.0,-71.0,-59.0,-59.0,-58.0,-57.0,-68.0,-63.0,-66.0,-62.0,-63.0,-61.0,-71.0,-76.0,-70.0,-84.0
-27.0,-61.0,-70.0,-59.0,-57.0,-61.0,-59.0,-67.0,-59.0,-64.0,-61.0,-67.0,-57.0,-71.0,-78.0,-75.0,-75.0
-27.0,-53.0,-69.0,-55.0,-67.0,-61.0,-56.0,-66.0,-62.0,-66.0,-64.0,-64.0,-59.0,-76.0,-74.0,-70.0,-74.0
-27.0,-65.0,-53.0,-59.0,-57.0,-66.0,-58.0,-65.0,-59.0,-66.0,-61.0,-68.0,-58.0,-70.0,-79.0,-71.0,-85.0
-27.0,-65.0,-53.0,-58.0,-57.0,-59.0,-57.0,-65.0,-58.0,-69.0,-64.0,-71.0,-59.0,-69.0,-70.0,-74.0,-74.0
-27.0,-65.0,-73.0,-58.0,-57.0,-59.0,-59.0,-67.0,-61.0,-66.0,-63.0,-70.0,-59.0,-78.0,-79.0,-71.0,-65.0
