0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-30.0,-57.0,-64.0,-57.0,-64.0,-66.0,-66.0,-66.0,-63.0,-66.0,-62.0,-63.0,-56.0,-62.0,-80.0,-75.0,-79.0
-25.0,-52.0,-56.0,-58.0,-60.0,-65.0,-56.0,-64.0,-70.0,-66.0,-68.0,-63.0,-66.0,-65.0,-71.0,-68.0,-80.0
-26.0,-51.0,-67.0,-58.0,-64.0,-55.0,-64.0,-69.0,-72.0,-65.0,-68.0,-63.0,-60.0,-61.0,-80.0,-66.0,-74.0
-25.0,-59.0,-68.0,-58.0,-66.0,-65.0,-59.0,-68.0,-69.0,-67.0,-63.0,-63.0,-57.0,-63.0,-80.0,-77.0,-75.0
-31.0,-52.0,-56.0,-58.0,-66.0,-55.0,-57.0,-63.0,-79.0,-68.0,-63.0,-64.0,-66.0,-67.0,-62.0,-76.0,-75.0
-31.0,-51.0,-55.0,-58.0,-70.0,-65.0,-56.0,-66.0,-73.0,-65.0,-70.0,-63.0,-57.0,-65.0,-64.0,-75.0,-75.0
-27.0,-57.0,-58.0,-64.0,-68.0,-62.0,-57.0,-70.0,-75.0,-71.0,-60.0,-61.0,-66.0,-60.0,-61.0,-69.0,-74.0
-31.0,-54.0,-57.0,-57.0,-62.0,-71.0,-57.0,-63.0,-71.0,-75.0,-61.0,-63.0,-62.0,-60.0,-59.0,-68.0,-73.0
-30.0,-56.0,-59.0,-58.0,-70.0,-65.0,-58.0,-59.0,-69.0,-75.0,-64.0,-68.0,-64.0,-62.0,-66.0,-66.0,-79.0
-24.0,-54.0,-56.0,-59.0,-63.0,-55.0,-55.0,-59.0,-76.0,-77.0,-66.0,-65.0,-63.0,-73.0,-65.0,-69.0,-75.0
-30.0,-56.0,-59.0,-63.0,-62.0,-64.0,-55.0,-59.0,-69.0,-66.0,-70.0,-58.0,-57.0,-65.0,-67.0,-67.0,-75.0
-25.0,-54.0,-57.0,-63.0,-65.0,-61.0,-58.0,-60.0,-67.0,-65.0,-65.0,-65.0,-58.0,-58.0,-61.0,-68.0,-77.0
-27.0,-51.0,-55.0,-58.0,-61.0,-64.0,-58.0,-67.0,-65.0,-66.0,-64.0,-61.0,-71.0,-63.0,-62.0,-69.0,-82.0
-27.0,-50.0,-58.0,-66.0,-64.0,-63.0,-55.0,-66.0,-46.0,-68.0,-64.0,-61.0,-56.0,-73.0,-61.0,-64.0,-77.0
-27.0,-56.0,-59.0,-66.0,-65.0,-63.0,-61.0,-64.0,-65.0,-65.0,-63.0,-62.0,-68.0,-61.0,-62.0,-69.0,-75.0
-26.0,-56.0,-56.0,-60.0,-62.0,-72.0,-58.0,-64.0,-57.0,-65.0,-62.0,-66.0,-60.0,-65.0,-60.0,-71.0,-76.0
-27.0,-54.0,-55.0,-67.0,-67.0,-66.0,-57.0,-67.0,-62.0,-71.0,-64.0,-62.0,-69.0,-56.0,-61.0,-63.0,-81.0
-25.0,-51.0,-56.0,-57.0,-61.0,-64.0,-58.0,-64.0,-68.0,-72.0,-64.0,-62.0,-60.0,-58.0,-64.0,-68.0,-84.0
-30.0,-56.0,-55.0,-61.0,-68.0,-64.0,-60.0,-67.0,-61.0,-70.0,-65.0,-61.0,-60.0,-66.0,-60.0,-71.0,-86.0
-26.0,-54.0,-58.0,-58.0,-68.0,-64.0,-60.0,-68.0,-61.0,-68.0,-65.0,-74.0,-57.0,-62.0,-64.0,-66.0,-82.0
-31.0,-51.0,-58.0,-58.0,-72.0,-55.0,-55.0,-66.0,-66.0,-68.0,-65.0,-63.0,-60.0,-64.0,-60.0,-67.0,-75.0
-25.0,-56.0,-59.0,-59.0,-70.0,-64.0,-59.0,-60.0,-75.0,-67.0,-62.0,-75.0,-57.0,-66.0,-61.0,-66.0,-73.0
-26.0,-51.0,-55.0,-58.0,-67.0,-55.0,-58.0,-60.0,-71.0,-69.0,-65.0,-62.0,-60.0,-68.0,-67.0,-68.0,-73.0
-27.0,-54.0,-58.0,-59.0,-73.0,-55.0,-58.0,-67.0,-61.0,-70.0,-62.0,-70.0,-70.0,-66.0,-67.0,-75.0,-80.0
-27.0,-54.0,-59.0,-60.0,-72.0,-64.0,-58.0,-60.0,-73.0,-67.0,-63.0,-70.0,-57.0,-59.0,-62.0,-71.0,-80.0
-25.0,-50.0,-55.0,-58.0,-72.0,-55.0,-55.0,-64.0,-72.0,-64.0,-64.0,-61.0,-70.0,-63.0,-66.0,-75.0,-82.0
-26.0,-54.0,-55.0,-60.0,-63.0,-64.0,-58.0,-65.0,-72.0,-70.0,-67.0,-75.0,-57.0,-64.0,-61.0,-70.0,-71.0
-27.0,-54.0,-56.0,-61.0,-68.0,-69.0,-55.0,-58.0,-70.0,-73.0,-64.0,-81.0,-57.0,-64.0,-62.0,-80.0,-80.0
-24.0,-56.0,-57.0,-59.0,-69.0,-63.0,-58.0,-58.0,-70.0,-73.0,-62.0,-77.0,-60.0,-66.0,-65.0,-67.0,-84.0
