0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-31.0,-42.0,-52.0,-44.0,-50.0,-50.0,-52.0,-53.0,-68.0,-54.0,-52.0,-57.0,-55.0,-83.0,-68.0,-83.0,-74.0
-28.0,-52.0,-54.0,-50.0,-55.0,-63.0,-61.0,-53.0,-50.0,-62.0,-52.0,-56.0,-54.0,-67.0,-69.0,-82.0,-77.0
-28.0,-43.0,-53.0,-50.0,-55.0,-50.0,-57.0,-51.0,-66.0,-58.0,-52.0,-59.0,-53.0,-75.0,-75.0,-68.0,-70.0
-31.0,-57.0,-52.0,-50.0,-51.0,-53.0,-57.0,-53.0,-50.0,-55.0,-55.0,-59.0,-54.0,-69.0,-64.0,-68.0,-71.0
-31.0,-47.0,-53.0,-50.0,-53.0,-60.0,-58.0,-55.0,-51.0,-60.0,-53.0,-59.0,-52.0,-68.0,-66.0,-67.0,-72.0
-30.0,-51.0,-56.0,-50.0,-50.0,-50.0,-61.0,-52.0,-50.0,-58.0,-59.0,-58.0,-54.0,-67.0,-69.0,-68.0,-71.0
-28.0,-43.0,-50.0,-44.0,-55.0,-57.0,-50.0,-53.0,-57.0,-54.0,-52.0,-59.0,-57.0,-62.0,-70.0,-68.0,-71.0
-31.0,-55.0,-56.0,-45.0,-53.0,-54.0,-50.0,-54.0,-68.0,-56.0,-51.0,-59.0,-51.0,-59.0,-69.0,-77.0,-69.0
-28.0,-58.0,-53.0,-50.0,-52.0,-50.0,-50.0,-57.0,-50.0,-55.0,-53.0,-55.0,-53.0,-65.0,-60.0,-70.0,-72.0
-31.0,-58.0,-48.0,-50.0,-52.0,-54.0,-50.0,-52.0,-61.0,-56.0,-51.0,-59.0,-56.0,-80.0,-60.0,-69.0,-69.0
-28.0,-57.0,-49.0,-44.0,-52.0,-54.0,-65.0,-52.0,-53.0,-56.0,-54.0,-52.0,-52.0,-68.0,-69.0,-68.0,-67.0
-28.0,-57.0,-55.0,-50.0,-56.0,-54.0,-50.0,-57.0,-52.0,-56.0,-52.0,-60.0,-56.0,-64.0,-68.0,-69.0,-73.0
-27.0,-57.0,-50.0,-44.0,-54.0,-48.0,-66.0,-53.0,-57.0,-55.0,-52.0,-52.0,-51.0,-65.0,-59.0,-68.0,-76.0
-27.0,-57.0,-49.0,-45.0,-58.0,-53.0,-66.0,-53.0,-30.0,-57.0,-52.0,-54.0,-55.0,-83.0,-60.0,-66.0,-78.0
-28.0,-57.0,-49.0,-52.0,-56.0,-55.0,-61.0,-56.0,-64.0,-55.0,-53.0,-53.0,-56.0,-64.0,-59.0,-72.0,-69.0
-28.0,-57.0,-53.0,-52.0,-57.0,-56.0,-50.0,-52.0,-64.0,-55.0,-58.0,-55.0,-56.0,-65.0,-67.0,-65.0,-75.0
-31.0,-58.0,-52.0,-44.0,-55.0,-51.0,-66.0,-52.0,-59.0,-54.0,-53.0,-54.0,-56.0,-64.0,-61.0,-62.0,-74.0
-31.0,-57.0,-55.0,-49.0,-65.0,-51.0,-66.0,-56.0,-52.0,-55.0,-53.0,-55.0,-52.0,-62.0,-73.0,-62.0,-76.0
-28.0,-54.0,-55.0,-52.0,-52.0,-51.0,-60.0,-52.0,-50.0,-57.0,-57.0,-54.0,-52.0,-62.0,-72.0,-72.0,-76.0
-28.0,-58.0,-54.0,-51.0,-53.0,-54.0,-66.0,-52.0,-58.0,-57.0,-53.0,-54.0,-56.0,-68.0,-59.0,-62.0,-70.0
-28.0,-42.0,-49.0,-51.0,-53.0,-51.0,-57.0,-56.0,-51.0,-54.0,-53.0,-54.0,-56.0,-64.0,-71.0,-72.0,-79.0
-31.0,-57.0,-49.0,-51.0,-53.0,-54.0,-66.0,-52.0,-61.0,-55.0,-57.0,-54.0,-56.0,-61.0,-75.0,-63.0,-71.0
