0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
,,,,,,,,,,,,,-73.0,-84.0,-82.0,-80.0
,,,,,,,,,,,,,-74.0,-68.0,-71.0,-79.0
,,,,,,,,,,,,,-75.0,-75.0,-72.0,-79.0
,,,,,,,,,,,,,-82.0,-70.0,-71.0,-80.0
,,,,,,,,,,,,,-72.0,-66.0,-77.0,-79.0
,,,,,,,,,,,,,-67.0,-78.0,-71.0,-85.0
,,,,,,,,,,,,,-70.0,-65.0,-78.0,-74.0
,,,,,,,,,,,,,-73.0,-67.0,-79.0,-73.0
,,,,,,,,,,,,,-73.0,-70.0,-76.0,-79.0
,,,,,,,,,,,,,-74.0,-66.0,-82.0,-80.0
,,,,,,,,,,,,,-82.0,-72.0,-75.0,-75.0
,,,,,,,,,,,,,-83.0,-71.0,-76.0,-82.0
,,,,,,,,,,,,,-82.0,-77.0,-82.0,-75.0
,,,,,,,,,,,,,-68.0,-71.0,-70.0,-78.0
,,,,,,,,,,,,,-81.0,-81.0,-73.0,-74.0
,,,,,,,,,,,,,-79.0,-79.0,-74.0,-76.0
,,,,,,,,,,,,,-78.0,-69.0,-76.0,-83.0
,,,,,,,,,,,,,-77.0,-75.0,-76.0,-80.0
,,,,,,,,,,,,,-81.0,-67.0,-77.0,-79.0
,,,,,,,,,,,,,-77.0,-74.0,-68.0,-78.0
,,,,,,,,,,,,,-77.0,-69.0,-66.0,-78.0
,,,,,,,,,,,,,-79.0,-71.0,-75.0,-83.0
,,,,,,,,,,,,,-67.0,-68.0,-65.0,-89.0
,,,,,,,,,,,,,-84.0,-73.0,-82.0,-82.0
,,,,,,,,,,,,,-80.0,-75.0,-77.0,-82.0
,,,,,,,,,,,,,-84.0,-68.0,-79.0,-84.0
,,,,,,,,,,,,,-79.0,-74.0,-75.0,-77.0
,,,,,,,,,,,,,-78.0,-67.0,-75.0,-82.0
,,,,,,,,,,,,,-82.0,-67.0,-66.0,-84.0
,,,,,,,,,,,,,-79.0,-69.0,-74.0,-83.0
,,,,,,,,,,,,,-68.0,-72.0,-75.0,-78.0
,,,,,,,,,,,,,-79.0,-69.0,-74.0,-78.0
,,,,,,,,,,,,,-70.0,-73.0,-81.0,-77.0
,,,,,,,,,,,,,-80.0,-68.0,-65.0,-77.0
,,,,,,,,,,,,,-71.0,-67.0,-76.0,-83.0
,,,,,,,,,,,,,-84.0,-72.0,-66.0,-84.0
,,,,,,,,,,,,,-79.0,-66.0,-76.0,-81.0
,,,,,,,,,,,,,-67.0,-71.0,-66.0,-84.0
,,,,,,,,,,,,,-67.0,-70.0,-66.0,-79.0
,,,,,,,,,,,,,-80.0,-72.0,-66.0,-84.0
,,,,,,,,,,,,,-82.0,-72.0,-77.0,-78.0
,,,,,,,,,,,,,-67.0,-72.0,-77.0,-77.0
,,,,,,,,,,,,,-85.0,-72.0,-76.0,-81.0
,,,,,,,,,,,,,-82.0,-71.0,-75.0,-79.0
,,,,,,,,,,,,,-81.0,-74.0,-66.0,-83.0
,,,,,,,,,,,,,-76.0,-68.0,-65.0,-84.0
,,,,,,,,,,,,,-83.0,-69.0,-66.0,-82.0
,,,,,,,,,,,,,-66.0,-71.0,-75.0,-80.0
,,,,,,,,,,,,,-66.0,-75.0,-66.0,-79.0
,,,,,,,,,,,,,-76.0,-75.0,-76.0,-82.0
,,,,,,,,,,,,,-77.0,-71.0,-75.0,-82.0
,,,,,,,,,,,,,-79.0,-73.0,-66.0,-80.0
,,,,,,,,,,,,,-77.0,-81.0,-75.0,-80.0
,,,,,,,,,,,,,-66.0,-73.0,-75.0,-76.0
,,,,,,,,,,,,,-79.0,-71.0,-75.0,-83.0
,,,,,,,,,,,,,-78.0,-69.0,-76.0,-88.0
,,,,,,,,,,,,,-73.0,-70.0,-74.0,-83.0
,,,,,,,,,,,,,-78.0,-68.0,-74.0,-85.0
,,,,,,,,,,,,,-74.0,-72.0,-72.0,-81.0
,,,,,,,,,,,,,-76.0,-70.0,-74.0,-76.0
,,,,,,,,,,,,,-77.0,-68.0,-86.0,-84.0
,,,,,,,,,,,,,-65.0,-71.0,-67.0,-81.0
,,,,,,,,,,,,,-73.0,-74.0,-69.0,-83.0
,,,,,,,,,,,,,-80.0,-75.0,-75.0,-82.0
,,,,,,,,,,,,,-76.0,-80.0,-73.0,-84.0
,,,,,,,,,,,,,-80.0,-75.0,-74.0,-84.0
,,,,,,,,,,,,,-75.0,-75.0,-73.0,-81.0
,,,,,,,,,,,,,-77.0,-78.0,-67.0,-84.0
,,,,,,,,,,,,,-67.0,-78.0,-73.0,-82.0
,,,,,,,,,,,,,-78.0,-74.0,-79.0,-84.0
,,,,,,,,,,,,,-74.0,-67.0,-65.0,-83.0
,,,,,,,,,,,,,-77.0,-78.0,-71.0,-82.0
,,,,,,,,,,,,,-67.0,-76.0,-74.0,-82.0
,,,,,,,,,,,,,-67.0,-78.0,-72.0,-83.0
,,,,,,,,,,,,,-81.0,-77.0,-66.0,-82.0
,,,,,,,,,,,,,-79.0,-73.0,-78.0,-77.0
,,,,,,,,,,,,,-71.0,-75.0,-81.0,-80.0
,,,,,,,,,,,,,-70.0,-66.0,-73.0,-81.0
,,,,,,,,,,,,,-83.0,-75.0,-65.0,-80.0
,,,,,,,,,,,,,-69.0,-70.0,-66.0,-73.0
,,,,,,,,,,,,,-76.0,-76.0,-79.0,-74.0
,,,,,,,,,,,,,-80.0,-77.0,-78.0,-79.0
,,,,,,,,,,,,,-77.0,-78.0,-66.0,-84.0
,,,,,,,,,,,,,-84.0,-73.0,-74.0,-77.0
,,,,,,,,,,,,,-79.0,-70.0,-76.0,-75.0
,,,,,,,,,,,,,-68.0,-71.0,-78.0,-78.0
,,,,,,,,,,,,,-75.0,-75.0,-66.0,-81.0
,,,,,,,,,,,,,-74.0,-67.0,-73.0,-80.0
,,,,,,,,,,,,,-72.0,-75.0,-67.0,-77.0
