0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
,,,,,,,,,,,,,-73.0,-70.0,-75.0,-79.0
,,,,,,,,,,,,,-70.0,-70.0,-70.0,-80.0
,,,,,,,,,,,,,-73.0,-70.0,-68.0,-82.0
,,,,,,,,,,,,,-71.0,-68.0,-68.0,-74.0
,,,,,,,,,,,,,-71.0,-65.0,-71.0,-70.0
,,,,,,,,,,,,,-77.0,-64.0,-74.0,-78.0
,,,,,,,,,,,,,-68.0,-63.0,-70.0,-73.0
,,,,,,,,,,,,,-60.0,-69.0,-75.0,-73.0
,,,,,,,,,,,,,-77.0,-64.0,-79.0,-78.0
,,,,,,,,,,,,,-71.0,-65.0,-77.0,-71.0
,,,,,,,,,,,,,-73.0,-63.0,-76.0,-82.0
,,,,,,,,,,,,,-75.0,-64.0,-80.0,-77.0
,,,,,,,,,,,,,-74.0,-66.0,-74.0,-74.0
,,,,,,,,,,,,,-68.0,-64.0,-75.0,-77.0
,,,,,,,,,,,,,-70.0,-64.0,-73.0,-83.0
,,,,,,,,,,,,,-81.0,-64.0,-73.0,-78.0
,,,,,,,,,,,,,-70.0,-65.0,-76.0,-73.0
,,,,,,,,,,,,,-72.0,-64.0,-73.0,-78.0
,,,,,,,,,,,,,-81.0,-63.0,-72.0,-69.0
,,,,,,,,,,,,,-61.0,-64.0,-70.0,-81.0
,,,,,,,,,,,,,-67.0,-67.0,-72.0,-74.0
,,,,,,,,,,,,,-67.0,-67.0,-72.0,-83.0
,,,,,,,,,,,,,-62.0,-66.0,-71.0,-73.0
,,,,,,,,,,,,,-81.0,-64.0,-85.0,-73.0
,,,,,,,,,,,,,-62.0,-64.0,-80.0,-73.0
,,,,,,,,,,,,,-71.0,-67.0,-81.0,-72.0
,,,,,,,,,,,,,-80.0,-64.0,-73.0,-74.0
,,,,,,,,,,,,,-63.0,-67.0,-73.0,-73.0
,,,,,,,,,,,,,-81.0,-65.0,-74.0,-72.0
,,,,,,,,,,,,,-63.0,-64.0,-77.0,-83.0
,,,,,,,,,,,,,-70.0,-64.0,-70.0,-77.0
,,,,,,,,,,,,,-87.0,-63.0,-84.0,-77.0
,,,,,,,,,,,,,-70.0,-63.0,-70.0,-78.0
,,,,,,,,,,,,,-80.0,-63.0,-81.0,-74.0
,,,,,,,,,,,,,-72.0,-61.0,-69.0,-81.0
,,,,,,,,,,,,,-75.0,-62.0,-76.0,-81.0
,,,,,,,,,,,,,-74.0,-67.0,-81.0,-73.0
,,,,,,,,,,,,,-62.0,-63.0,-76.0,-74.0
,,,,,,,,,,,,,-62.0,-68.0,-80.0,-74.0
,,,,,,,,,,,,,-80.0,-64.0,-70.0,-74.0
,,,,,,,,,,,,,-70.0,-63.0,-69.0,-78.0
,,,,,,,,,,,,,-81.0,-63.0,-69.0,-81.0
,,,,,,,,,,,,,-81.0,-64.0,-80.0,-80.0
,,,,,,,,,,,,,-70.0,-67.0,-82.0,-79.0
,,,,,,,,,,,,,-70.0,-63.0,-75.0,-76.0
,,,,,,,,,,,,,-84.0,-63.0,-75.0,-73.0
,,,,,,,,,,,,,-78.0,-64.0,-68.0,-77.0
,,,,,,,,,,,,,-68.0,-63.0,-69.0,-73.0
,,,,,,,,,,,,,-62.0,-64.0,-76.0,-77.0
,,,,,,,,,,,,,-78.0,-62.0,-86.0,-78.0
,,,,,,,,,,,,,-69.0,-65.0,-85.0,-78.0
,,,,,,,,,,,,,-79.0,-66.0,-83.0,-77.0
,,,,,,,,,,,,,-76.0,-65.0,-74.0,-75.0
,,,,,,,,,,,,,-70.0,-69.0,-83.0,-77.0
,,,,,,,,,,,,,-77.0,-77.0,-82.0,-78.0
,,,,,,,,,,,,,-84.0,-76.0,-73.0,-74.0
,,,,,,,,,,,,,-63.0,-72.0,-67.0,-75.0
,,,,,,,,,,,,,-84.0,-76.0,-69.0,-79.0
,,,,,,,,,,,,,-84.0,-70.0,-75.0,-79.0
,,,,,,,,,,,,,-81.0,-70.0,-80.0,-77.0
,,,,,,,,,,,,,-81.0,-74.0,-85.0,-80.0
,,,,,,,,,,,,,-63.0,-75.0,-79.0,-76.0
,,,,,,,,,,,,,-69.0,-69.0,-85.0,-75.0
,,,,,,,,,,,,,-81.0,-71.0,-74.0,-73.0
,,,,,,,,,,,,,-63.0,-71.0,-73.0,-70.0
,,,,,,,,,,,,,-69.0,-72.0,-71.0,-79.0
,,,,,,,,,,,,,-77.0,-71.0,-73.0,-82.0
,,,,,,,,,,,,,-81.0,-72.0,-81.0,-74.0
,,,,,,,,,,,,,-62.0,-72.0,-77.0,-76.0
,,,,,,,,,,,,,-67.0,-69.0,-75.0,-74.0
,,,,,,,,,,,,,-68.0,-73.0,-78.0,-84.0
,,,,,,,,,,,,,-70.0,-71.0,-77.0,-81.0
,,,,,,,,,,,,,-68.0,-68.0,-74.0,-84.0
,,,,,,,,,,,,,-75.0,-79.0,-69.0,-79.0
,,,,,,,,,,,,,-84.0,-73.0,-78.0,-73.0
,,,,,,,,,,,,,-78.0,-68.0,-79.0,-74.0
,,,,,,,,,,,,,-74.0,-71.0,-86.0,-76.0
,,,,,,,,,,,,,-76.0,-72.0,-75.0,-82.0
,,,,,,,,,,,,,-68.0,-68.0,-77.0,-78.0
,,,,,,,,,,,,,-71.0,-69.0,-72.0,-73.0
,,,,,,,,,,,,,-69.0,-70.0,-73.0,-82.0
,,,,,,,,,,,,,-62.0,-68.0,-70.0,-77.0
,,,,,,,,,,,,,-77.0,-67.0,-70.0,-89.0
,,,,,,,,,,,,,-81.0,-70.0,-70.0,-79.0
,,,,,,,,,,,,,-77.0,-70.0,-76.0,-77.0
,,,,,,,,,,,,,-68.0,-70.0,-85.0,-87.0
,,,,,,,,,,,,,-92.0,-70.0,-66.0,-72.0
,,,,,,,,,,,,,-72.0,-69.0,-69.0,-81.0
,,,,,,,,,,,,,-64.0,-68.0,-71.0,-81.0
,,,,,,,,,,,,,-76.0,-68.0,-74.0,-77.0
,,,,,,,,,,,,,-68.0,-68.0,-71.0,-73.0
,,,,,,,,,,,,,-70.0,-71.0,-70.0,-77.0
,,,,,,,,,,,,,-79.0,-69.0,-75.0,-76.0
,,,,,,,,,,,,,-65.0,-71.0,-79.0,-81.0
,,,,,,,,,,,,,-69.0,-70.0,-80.0,-88.0
,,,,,,,,,,,,,-72.0,-68.0,-76.0,-75.0
,,,,,,,,,,,,,-86.0,-70.0,-72.0,-76.0
,,,,,,,,,,,,,-80.0,-68.0,-76.0,-75.0
,,,,,,,,,,,,,-67.0,-70.0,-71.0,-75.0
,,,,,,,,,,,,,-84.0,-70.0,-73.0,-79.0
,,,,,,,,,,,,,-71.0,-68.0,-72.0,-80.0
,,,,,,,,,,,,,-65.0,-69.0,-72.0,-79.0
,,,,,,,,,,,,,-69.0,-70.0,-76.0,-80.0
,,,,,,,,,,,,,-70.0,-69.0,-74.0,-73.0
,,,,,,,,,,,,,-62.0,-68.0,-82.0,-70.0
,,,,,,,,,,,,,-63.0,-69.0,-69.0,-69.0
,,,,,,,,,,,,,-72.0,-68.0,-69.0,-75.0
,,,,,,,,,,,,,-70.0,-69.0,-70.0,-74.0
,,,,,,,,,,,,,-72.0,-68.0,-71.0,-75.0
,,,,,,,,,,,,,-63.0,-70.0,-70.0,-76.0
,,,,,,,,,,,,,-68.0,-68.0,-69.0,-70.0
,,,,,,,,,,,,,-63.0,-68.0,-71.0,-78.0
,,,,,,,,,,,,,-64.0,-67.0,-83.0,-79.0
,,,,,,,,,,,,,-64.0,-70.0,-79.0,-77.0
,,,,,,,,,,,,,-73.0,-70.0,-70.0,-77.0
,,,,,,,,,,,,,-63.0,-73.0,-70.0,-72.0
,,,,,,,,,,,,,-71.0,-67.0,-69.0,-76.0
,,,,,,,,,,,,,-67.0,-74.0,-72.0,-72.0
,,,,,,,,,,,,,-68.0,-73.0,-80.0,-87.0
,,,,,,,,,,,,,-72.0,-69.0,-75.0,-81.0
,,,,,,,,,,,,,-72.0,-76.0,-76.0,-76.0
,,,,,,,,,,,,,-66.0,-68.0,-80.0,-82.0
,,,,,,,,,,,,,-75.0,-82.0,-72.0,-80.0
,,,,,,,,,,,,,-70.0,-80.0,-70.0,-82.0
,,,,,,,,,,,,,-77.0,-76.0,-80.0,-78.0
,,,,,,,,,,,,,-86.0,,-71.0,-72.0
,,,,,,,,,,,,,-74.0,,-83.0,-84.0
,,,,,,,,,,,,,-73.0,,-82.0,-72.0
,,,,,,,,,,,,,,,-76.0,-72.0
,,,,,,,,,,,,,,,-72.0,-82.0
,,,,,,,,,,,,,,,-67.0,-74.0
,,,,,,,,,,,,,,,-73.0,
,,,,,,,,,,,,,,,-69.0,
,,,,,,,,,,,,,,,-74.0,
,,,,,,,,,,,,,,,-70.0,
,,,,,,,,,,,,,,,-78.0,
,,,,,,,,,,,,,,,-80.0,
,,,,,,,,,,,,,,,-72.0,
,,,,,,,,,,,,,,,-71.0,
,,,,,,,,,,,,,,,-71.0,
